"Symbol","EndDate","Source","StateTypeCode","RDPerson","RDPersonRatio","RDSpendSum","RDSpendSumRatio"
"000021","2019-12-31","0","1","617","2.0800","208160094.3800","1.5700"
"000021","2020-12-31","0","1","561","2.0700","255116919.6700","1.7000"
"000021","2021-12-31","0","1","540","2.0100","310326547.0600","1.8800"
"000022","2015-12-31","0","1","65","4.4900","23311082.4700","1.2400"
"000022","2016-12-31","0","1","76","5.3700","28215328.7100","1.4800"
"000022","2017-12-31","0","1","78","4.5400","30523311.9300","1.2400"
"000024","2013-12-31","0","1","","","13800000.0000",""
"000024","2014-12-31","0","1","","","6470000.0000","0.0100"
"000026","2007-12-31","0","1","","","5937496.8300",""
"000026","2008-12-31","0","1","","","8774385.4900",""
"000026","2009-12-31","0","1","","","1631580.5500",""
"000026","2010-12-31","0","1","","","11565415.0100",""
"000026","2012-12-31","0","1","","","31219000.0000","1.0300"
"000026","2013-12-31","0","1","","","37191000.0000","1.2000"
"000026","2014-12-31","0","1","","","49559500.0000","1.5100"
"000026","2015-12-31","0","1","39","0.7000","37481362.4300","1.1900"
"000026","2016-12-31","0","1","43","0.8100","41757819.7000","1.3900"
"000026","2017-12-31","0","1","45","0.8400","49453899.3500","1.4800"
"000026","2018-12-31","0","1","47","0.9100","47350342.8200","1.3900"
"000026","2019-12-31","0","1","55","1.1000","45057740.2500","1.2200"
"000026","2020-12-31","0","1","58","1.1800","51489323.4900","1.2100"
"000026","2021-12-31","0","1","128","2.5200","57802569.1700","1.1000"
"000027","2012-12-31","0","1","","","11731834.1100","0.0900"
"000027","2013-12-31","0","1","","","18601488.0300","0.1500"
"000027","2014-12-31","0","1","","","22929007.3200","0.1800"
"000027","2015-12-31","0","1","182","3.7900","32912969.1800","0.3000"
"000027","2016-12-31","0","1","193","3.6800","45667140.5900","0.4000"
"000027","2017-12-31","0","1","205","3.5100","17532562.3500","0.1100"
"000027","2018-12-31","0","1","257","3.8700","163453325.1500","0.8800"
"000027","2019-12-31","0","1","276","3.9800","208831436.3700","1.0000"
"000027","2020-12-31","0","1","286","3.8700","315355777.8800","1.5400"
"000027","2021-12-31","0","1","306","3.7500","372513257.5100","1.1800"
"000028","2007-12-31","0","1","","","18340000.0000","47.6700"
"000028","2008-12-31","0","1","","","23708795.6500",""
"000028","2009-12-31","0","1","286","8.0600","",""
"000028","2010-12-31","0","1","","","57685900.0000","3.3500"
"000028","2011-12-31","0","1","","","64935100.0000","3.7200"
"000028","2012-12-31","0","1","","","80366881.9800","0.4500"
"000028","2013-12-31","0","1","","","80047194.4200","0.3800"
"000028","2014-12-31","0","1","","","81216093.5200","0.3400"
"000028","2015-12-31","0","1","94","2.0200","73150395.2600","0.2800"
"000028","2016-12-31","0","1","221","13.9000","43731710.1600","0.1100"
"000030","2013-12-31","0","1","","","113506000.0000","2.1700"
"000030","2014-12-31","0","1","","","124683100.0000","2.4900"
"000030","2015-12-31","0","1","821","12.8000","116215805.8300","2.6800"
"000030","2016-12-31","0","1","899","12.9000","125210910.3200","2.1400"
"000030","2017-12-31","0","1","905","13.0000","162608021.2900","2.2600"
"000030","2018-12-31","0","1","965","12.6100","213964694.6400","2.7200"
"000030","2019-12-31","0","1","969","13.0000","213844136.5900","2.1200"
"000030","2020-12-31","0","1","985","13.0000","242280517.2400","2.1800"
"000030","2021-12-31","0","1","997","12.7000","380017695.8500","2.9600"
"000031","2020-12-31","0","1","0","0.0000","19034258.4100","0.0500"
"000031","2021-12-31","0","1","","","14542972.3600","0.0300"
"000032","2007-12-31","0","1","","","25390000.0000",""
"000032","2008-12-31","0","1","239","","",""
"000032","2009-12-31","0","1","228","","247853.7700",""
"000032","2010-12-31","0","1","254","","",""
"000032","2011-12-31","0","1","225","","",""
"000032","2012-12-31","0","1","","","39104320.4100","2.5800"
"000032","2013-12-31","0","1","","","26021103.4900","1.6000"
"000032","2014-12-31","0","1","","","28156418.1000","1.9500"
"000032","2015-12-31","0","1","99","5.9500","39405961.0800","2.0000"
"000032","2016-12-31","0","1","134","9.1800","32756689.2100","1.6500"
"000032","2017-12-31","0","1","114","9.0400","29205576.3900","1.7000"
"000032","2018-12-31","0","1","94","9.8500","32127211.5000","2.0100"
"000032","2019-12-31","0","1","91","20.0200","25079207.3400","1.6700"
"000032","2020-12-31","0","1","142","29.8300","31001146.0200","2.0400"
"000032","2021-12-31","0","1","2183","11.0000","1011260027.2100","2.3700"
"000034","2010-12-31","0","1","","","3978138.2300",""
"000034","2012-12-31","0","1","","","1977082.7400","0.4300"
"000034","2013-12-31","0","1","","","3478590.9400",""
"000034","2014-12-31","0","1","","","4980813.3600","0.9800"
"000034","2015-12-31","0","1","13","1.3900","260661978.0000","0.5700"
"000034","2017-12-31","0","1","209","4.6600","99082135.8500","0.1600"
"000034","2018-12-31","0","1","225","5.3200","116691899.0300","0.1400"
"000034","2019-12-31","0","1","315","7.7400","147643269.2000","0.1700"
"000034","2020-12-31","0","1","455","9.9600","181767255.9500","0.2000"
"000034","2021-12-31","0","1","593","11.3800","240321435.1400","0.2000"
"000035","2014-12-31","0","1","","","12000000.0000","2.1800"
"000035","2015-12-31","0","1","37","2.9400","34119239.0200","4.1300"
"000035","2016-12-31","0","1","74","4.9600","20475802.8200","2.0900"
"000035","2017-12-31","0","1","98","1.7100","37850134.6200","2.3500"
"000035","2018-12-31","0","1","149","1.7300","48302421.9800","2.6200"
"000035","2019-12-31","0","1","222","0.5000","71244462.1300","0.3800"
"000035","2020-12-31","0","1","205","0.3400","58047462.1400","0.2700"
"000035","2021-12-31","0","1","278","1.8100","107995292.6600","0.5200"
"000037","2020-12-31","0","1","35","8.6800","8490882.5800","0.8600"
"000037","2021-12-31","0","1","72","18.3700","20933712.9800","2.7600"
"000039","2007-12-31","0","1","","","1000000000.0000",""
"000039","2008-12-31","0","1","","","560000000.0000",""
"000039","2012-12-31","0","1","","","1901692000.0000","3.5000"
"000039","2013-12-31","0","1","","","501949000.0000","0.8700"
"000039","2014-12-31","0","1","","","591756000.0000","0.8400"
"000039","2015-12-31","0","1","3380","5.9000","614462000.0000","1.0500"
"000039","2016-12-31","0","1","3385","6.6000","563792000.0000","1.1000"
"000039","2017-12-31","0","1","3389","6.6900","725386000.0000","0.9500"
"000039","2018-12-31","0","1","3396","6.6300","1040751000.0000","1.1100"
"000039","2019-12-31","0","1","3400","6.8400","1486985000.0000","1.7300"
"000039","2020-12-31","0","1","4492","8.7900","1641391000.0000","1.7400"
"000039","2021-12-31","0","1","4565","8.8200","2240779000.0000","1.3700"
"000040","2016-12-31","0","1","82","4.9600","8181757.2600","0.2200"
"000040","2017-12-31","0","1","148","5.1400","40342728.4300","0.5000"
"000040","2018-12-31","0","1","217","9.5800","59476797.0400","0.6900"
"000040","2019-12-31","0","1","123","14.0600","40756211.0600","0.6000"
"000040","2020-12-31","0","1","111","19.4000","30408060.9900","0.8800"
"000040","2021-12-31","0","1","113","26.5900","34230640.1400","0.8800"
"000042","2021-12-31","0","1","20","0.7700","14689122.0700","0.1700"
"000043","2013-12-31","0","1","","","6343076.9000","4.1100"
"000043","2014-12-31","0","1","","","8372425.2400","4.1700"
"000043","2015-12-31","0","1","27","0.1500","10187679.4900","0.1800"
"000043","2016-12-31","0","1","27","0.1300","10892428.5300","0.1700"
"000043","2017-12-31","0","1","89","0.4600","9995818.2900","0.1700"
"000043","2018-12-31","0","1","120","0.6000","14622697.3700","0.2200"
"000045","2007-12-31","0","1","","","5625000.0000",""
"000045","2011-12-31","0","1","","","14231905.6200",""
"000045","2012-12-31","0","1","","","54658800.0000","20.8000"
"000045","2013-12-31","0","1","","","72800000.0000",""
"000045","2014-12-31","0","1","","","55071000.0000",""
"000045","2015-12-31","0","1","98","7.6600","3086729424.0000","2.2500"
"000045","2016-12-31","0","1","106","8.4400","39308762.4200","3.2800"
"000045","2017-12-31","0","1","105","10.2000","39036089.0500","2.6500"
"000045","2018-12-31","0","1","107","10.1800","41951786.1500","3.3000"
"000045","2019-12-31","0","1","117","10.8900","53178714.3300","2.4600"
"000045","2020-12-31","0","1","169","12.3400","67160964.2200","3.1800"
"000045","2021-12-31","0","1","145","10.6100","103508764.5300","4.5100"
"000048","2010-12-31","0","1","","","12424848.7600",""
"000048","2011-12-31","0","1","","","16357672.0700",""
"000048","2012-12-31","0","1","","","17906512.9200","1.2300"
"000048","2013-12-31","0","1","","","22585662.5400","1.4400"
"000048","2014-12-31","0","1","","","23568891.1000","1.1000"
"000048","2015-12-31","0","1","33","2.0400","22492918.6200","0.9800"
"000048","2016-12-31","0","1","33","1.9400","23212954.8000","1.4900"
"000048","2017-12-31","0","1","33","2.1100","21972550.4800","0.7500"
"000048","2018-12-31","0","1","51","3.2800","25201621.3300","0.7300"
"000048","2019-12-31","0","1","51","6.9200","29754031.2600","0.6000"
"000048","2020-12-31","0","1","30","2.3000","33527987.1900","0.8200"
"000048","2021-12-31","0","1","29","1.2600","34629563.0100","1.0700"
"000049","2007-12-31","0","1","","","4184475.4700",""
"000049","2012-12-31","0","1","","","101230872.0000","3.1800"
"000049","2013-12-31","0","1","","","104412442.0000","2.3800"
"000049","2014-12-31","0","1","","","114476969.0000","1.7900"
"000049","2015-12-31","0","1","449","7.1200","141787665.5400","1.6800"
"000049","2016-12-31","0","1","776","8.9300","200962210.8600","2.3000"
"000049","2017-12-31","0","1","756","7.1400","348047136.9600","2.7900"
