证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
300802.SZ,矩子科技,上海辖区,计算机、通信和其他电子设备制造业,其他自动化设备,B,696.56,2022-12-31
300546.SZ,雄帝科技,深圳辖区,计算机、通信和其他电子设备制造业,其他计算机设备,B,696.55,2022-12-31
002339.SZ,积成电子,山东辖区,"电气机械和器材制造业 ",电网自动化设备,B,696.53,2022-12-31
300926.SZ,博俊科技,江苏辖区,汽车制造业,其他汽车零部件,B,696.53,2022-12-31
000554.SZ,泰山石油,山东辖区,批发业,油品石化贸易,B,696.52,2022-12-31
002046.SZ,国机精工,河南辖区,通用设备制造业,磨具磨料,B,696.5,2022-12-31
300855.SZ,图南股份,江苏辖区,有色金属冶炼和压延加工业,其他金属新材料,B,696.5,2022-12-31
300698.SZ,万马科技,浙江辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,696.48,2022-12-31
601330.SH,绿色动力,深圳辖区,生态保护和环境治理业,固废治理,B,696.47,2022-12-31
002391.SZ,长青股份,江苏辖区,化学原料和化学制品制造业,农药,B,696.44,2022-12-31
002078.SZ,太阳纸业,山东辖区,"造纸和纸制品业 ",大宗用纸,B,696.43,2022-12-31
603920.SH,世运电路,广东辖区,计算机、通信和其他电子设备制造业,印制电路板,B,696.4,2022-12-31
688350.SH,富淼科技,江苏辖区,化学原料和化学制品制造业,其他化学制品,B,696.35,2022-12-31
600805.SH,悦达投资,江苏辖区,综合,综合Ⅲ,B,696.34,2022-12-31
002206.SZ,海 利 得,浙江辖区,化学纤维制造业,涤纶,B,696.24,2022-12-31
301076.SZ,新瀚新材,江苏辖区,化学原料和化学制品制造业,其他化学制品,B,696.21,2022-12-31
002441.SZ,众业达,广东辖区,批发业,配电设备,B,696.2,2022-12-31
300570.SZ,太辰光,深圳辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,696.2,2022-12-31
000886.SZ,海南高速,海南辖区,房地产业,住宅开发,B,696.18,2022-12-31
300041.SZ,回天新材,湖北辖区,化学原料和化学制品制造业,有机硅,B,696.1,2022-12-31
300951.SZ,博硕科技,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,695.99,2022-12-31
603633.SH,徕木股份,上海辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,695.93,2022-12-31
603223.SH,恒通股份,山东辖区,道路运输业,油品石化贸易,B,695.89,2022-12-31
600371.SH,万向德农,黑龙江辖区,农业,种子,B,695.85,2022-12-31
300918.SZ,南山智尚,山东辖区,纺织业,其他纺织,B,695.63,2022-12-31
600789.SH,鲁抗医药,山东辖区,"医药制造业 ",化学制剂,B,695.63,2022-12-31
000923.SZ,河钢资源,河北辖区,黑色金属矿采选业,铁矿石,B,695.55,2022-12-31
000819.SZ,岳阳兴长,湖南辖区,"石油加工、炼焦和核燃料加工业 ",其他石化,B,695.54,2022-12-31
002374.SZ,中锐股份,山东辖区,"金属制品业 ",金属包装,B,695.51,2022-12-31
002014.SZ,永新股份,安徽辖区,橡胶和塑料制品业,塑料包装,B,695.48,2022-12-31
300491.SZ,通合科技,河北辖区,"电气机械和器材制造业 ",其他电源设备Ⅲ,B,695.41,2022-12-31
300676.SZ,华大基因,深圳辖区,专业技术服务业,诊断服务,B,695.41,2022-12-31
000409.SZ,云鼎科技,山东辖区,软件和信息技术服务业,IT服务Ⅲ,B,695.37,2022-12-31
002965.SZ,祥鑫科技,广东辖区,"金属制品业 ",其他汽车零部件,B,695.35,2022-12-31
688707.SH,振华新材,贵州辖区,化学原料和化学制品制造业,电池化学品,B,695.33,2022-12-31
002463.SZ,沪电股份,江苏辖区,计算机、通信和其他电子设备制造业,印制电路板,B,695.32,2022-12-31
600372.SH,中航电子,北京辖区,铁路、船舶、航空航天和其他运输设备制造业,航空装备Ⅲ,B,695.31,2022-12-31
000739.SZ,普洛药业,浙江辖区,"医药制造业 ",原料药,B,695.28,2022-12-31
600356.SH,恒丰纸业,黑龙江辖区,"造纸和纸制品业 ",特种纸,B,695.27,2022-12-31
003021.SZ,兆威机电,深圳辖区,"电气机械和器材制造业 ",电机Ⅲ,B,695.25,2022-12-31
600222.SH,太龙药业,河南辖区,"医药制造业 ",中药Ⅲ,B,695.25,2022-12-31
000153.SZ,丰原药业,安徽辖区,"医药制造业 ",化学制剂,B,695.22,2022-12-31
002955.SZ,鸿合科技,深圳辖区,计算机、通信和其他电子设备制造业,面板,B,695.22,2022-12-31
300039.SZ,上海凯宝,上海辖区,"医药制造业 ",中药Ⅲ,B,695.2,2022-12-31
002976.SZ,瑞玛精密,江苏辖区,"金属制品业 ",其他汽车零部件,B,695.18,2022-12-31
300828.SZ,锐新科技,天津辖区,"金属制品业 ",金属制品,B,695.1,2022-12-31
601916.SH,浙商银行,浙江辖区,货币金融服务,股份制银行Ⅲ,B,695.1,2022-12-31
300151.SZ,昌红科技,深圳辖区,专用设备制造业,其他专用设备,B,695.06,2022-12-31
300136.SZ,信维通信,深圳辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,695.01,2022-12-31
301071.SZ,力量钻石,河南辖区,非金属矿物制品业,非金属材料Ⅲ,B,694.89,2022-12-31
002484.SZ,江海股份,江苏辖区,计算机、通信和其他电子设备制造业,被动元件,B,694.88,2022-12-31
002182.SZ,云海金属,江苏辖区,有色金属冶炼和压延加工业,其他小金属,B,694.84,2022-12-31
000999.SZ,华润三九,深圳辖区,"医药制造业 ",中药Ⅲ,B,694.83,2022-12-31
603868.SH,飞科电器,上海辖区,"电气机械和器材制造业 ",个护小家电,B,694.8,2022-12-31
002885.SZ,京泉华,深圳辖区,计算机、通信和其他电子设备制造业,其他电子Ⅲ,B,694.79,2022-12-31
300031.SZ,宝通科技,江苏辖区,互联网和相关服务,游戏Ⅲ,B,694.79,2022-12-31
605108.SH,同庆楼,安徽辖区,餐饮业,餐饮,B,694.76,2022-12-31
300856.SZ,科思股份,江苏辖区,化学原料和化学制品制造业,化妆品制造及其他,B,694.74,2022-12-31
600959.SH,江苏有线,江苏辖区,电信、广播电视和卫星传输服务,电视广播Ⅲ,B,694.71,2022-12-31
600658.SH,电子城,北京辖区,房地产业,产业地产,B,694.7,2022-12-31
601869.SH,长飞光纤,湖北辖区,计算机、通信和其他电子设备制造业,通信线缆及配套,B,694.7,2022-12-31
601098.SH,中南传媒,湖南辖区,新闻和出版业,教育出版,B,694.66,2022-12-31
603612.SH,索通发展,山东辖区,非金属矿物制品业,非金属材料Ⅲ,B,694.64,2022-12-31
300012.SZ,华测检测,深圳辖区,专业技术服务业,检测服务,B,694.62,2022-12-31
603588.SH,高能环境,北京辖区,生态保护和环境治理业,固废治理,B,694.6,2022-12-31
002170.SZ,芭田股份,深圳辖区,化学原料和化学制品制造业,复合肥,B,694.59,2022-12-31
300662.SZ,科锐国际,北京辖区,商务服务业,人力资源服务,B,694.59,2022-12-31
601368.SH,绿城水务,广西辖区,"水的生产和供应业  ",水务及水治理,B,694.58,2022-12-31
600200.SH,江苏吴中,江苏辖区,"医药制造业 ",化学制剂,B,694.56,2022-12-31
603500.SH,祥和实业,浙江辖区,铁路、船舶、航空航天和其他运输设备制造业,轨交设备Ⅲ,B,694.55,2022-12-31
300453.SZ,三鑫医疗,江西辖区,专用设备制造业,医疗耗材,B,694.53,2022-12-31
002422.SZ,科伦药业,四川辖区,"医药制造业 ",化学制剂,B,694.42,2022-12-31
300973.SZ,立高食品,广东辖区,食品制造业,烘焙食品,B,694.42,2022-12-31
300387.SZ,富邦股份,湖北辖区,化学原料和化学制品制造业,复合肥,B,694.39,2022-12-31
002009.SZ,天奇股份,江苏辖区,通用设备制造业,其他专用设备,B,694.28,2022-12-31
601117.SH,中国化学,北京辖区,土木工程建筑业,化学工程,B,694.27,2022-12-31
600613.SH,神奇制药,上海辖区,"医药制造业 ",化学制剂,B,694.24,2022-12-31
300174.SZ,元力股份,福建辖区,化学原料和化学制品制造业,其他化学制品,B,694.19,2022-12-31
600573.SH,惠泉啤酒,福建辖区,酒、饮料和精制茶制造业,啤酒,B,694.19,2022-12-31
603817.SH,海峡环保,福建辖区,"水的生产和供应业  ",水务及水治理,B,694.1,2022-12-31
000799.SZ,酒鬼酒,湖南辖区,酒、饮料和精制茶制造业,白酒Ⅲ,B,694.04,2022-12-31
300106.SZ,西部牧业,新疆辖区,畜牧业,乳品,B,694.02,2022-12-31
300729.SZ,乐歌股份,宁波辖区,"家具制造业 ",其他家居用品,B,693.88,2022-12-31
600929.SH,雪天盐业,湖南辖区,食品制造业,无机盐,B,693.83,2022-12-31
600843.SH,上工申贝,上海辖区,专用设备制造业,纺织服装设备,B,693.82,2022-12-31
002767.SZ,先锋电子,浙江辖区,仪器仪表制造业,仪器仪表,B,693.71,2022-12-31
300191.SZ,潜能恒信,北京辖区,开采辅助活动,油气及炼化工程,B,693.68,2022-12-31
300789.SZ,唐源电气,四川辖区,软件和信息技术服务业,其他计算机设备,B,693.67,2022-12-31
300399.SZ,京天利,江西辖区,软件和信息技术服务业,IT服务Ⅲ,B,693.62,2022-12-31
600236.SH,桂冠电力,广西辖区,电力、热力生产和供应业,水力发电,B,693.61,2022-12-31
002110.SZ,三钢闽光,福建辖区,"黑色金属冶炼和压延加工业 ",长材,B,693.58,2022-12-31
002728.SZ,特一药业,广东辖区,"医药制造业 ",中药Ⅲ,B,693.58,2022-12-31
002947.SZ,恒铭达,江苏辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,693.57,2022-12-31
000761.SZ,本钢板材,辽宁辖区,"黑色金属冶炼和压延加工业 ",板材,B,693.52,2022-12-31
603605.SH,珀莱雅,浙江辖区,化学原料和化学制品制造业,品牌化妆品,B,693.45,2022-12-31
603860.SH,中公高科,北京辖区,专业技术服务业,工程咨询服务Ⅲ,B,693.45,2022-12-31
600066.SH,宇通客车,河南辖区,汽车制造业,商用载客车,B,693.44,2022-12-31
300452.SZ,山河药辅,安徽辖区,"医药制造业 ",原料药,B,693.4,2022-12-31
688112.SH,鼎阳科技,深圳辖区,仪器仪表制造业,仪器仪表,B,693.39,2022-12-31
603283.SH,赛腾股份,江苏辖区,专用设备制造业,工控设备,B,693.28,2022-12-31
300735.SZ,光弘科技,广东辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,693.23,2022-12-31
603967.SH,中创物流,青岛辖区,装卸搬运和运输代理业,跨境物流,B,693.2,2022-12-31
300603.SZ,立昂技术,新疆辖区,软件和信息技术服务业,通信工程及服务,B,693.18,2022-12-31
603195.SH,公牛集团,宁波辖区,"电气机械和器材制造业 ",其他家居用品,B,693.18,2022-12-31
601988.SH,中国银行,北京辖区,货币金融服务,国有大型银行Ⅲ,B,693.17,2022-12-31
300777.SZ,中简科技,江苏辖区,化学纤维制造业,航空装备Ⅲ,B,693.11,2022-12-31
601518.SH,吉林高速,吉林辖区,道路运输业,高速公路,B,693.05,2022-12-31
000790.SZ,华神科技,四川辖区,"医药制造业 ",中药Ⅲ,B,693.01,2022-12-31
603002.SH,宏昌电子,广东辖区,计算机、通信和其他电子设备制造业,电子化学品Ⅲ,B,693.01,2022-12-31
002729.SZ,好利科技,厦门辖区,计算机、通信和其他电子设备制造业,其他电子Ⅲ,B,692.98,2022-12-31
600106.SH,重庆路桥,重庆辖区,道路运输业,高速公路,B,692.97,2022-12-31
300523.SZ,辰安科技,北京辖区,软件和信息技术服务业,IT服务Ⅲ,B,692.84,2022-12-31
300839.SZ,博汇股份,宁波辖区,"石油加工、炼焦和核燃料加工业 ",其他石化,B,692.73,2022-12-31
603661.SH,恒林股份,浙江辖区,"家具制造业 ",成品家居,B,692.7,2022-12-31
603578.SH,三星新材,浙江辖区,非金属矿物制品业,家电零部件Ⅲ,B,692.55,2022-12-31
600731.SH,湖南海利,湖南辖区,化学原料和化学制品制造业,农药,B,692.53,2022-12-31
300442.SZ,润泽科技,上海辖区,专用设备制造业,通信应用增值服务,B,692.5,2022-12-31
300430.SZ,诚益通,北京辖区,仪器仪表制造业,其他通用设备,B,692.4,2022-12-31
600237.SH,铜峰电子,安徽辖区,计算机、通信和其他电子设备制造业,被动元件,B,692.4,2022-12-31
600495.SH,晋西车轴,山西辖区,铁路、船舶、航空航天和其他运输设备制造业,轨交设备Ⅲ,B,692.4,2022-12-31
001217.SZ,华尔泰,安徽辖区,化学原料和化学制品制造业,其他化学原料,B,692.37,2022-12-31
300374.SZ,中铁装配,北京辖区,非金属矿物制品业,耐火材料,B,692.29,2022-12-31
688589.SH,力合微,深圳辖区,软件和信息技术服务业,数字芯片设计,B,692.28,2022-12-31
601000.SH,唐山港,河北辖区,水上运输业,港口,B,692.25,2022-12-31
002860.SZ,星帅尔,浙江辖区,"电气机械和器材制造业 ",家电零部件Ⅲ,B,692.23,2022-12-31
300854.SZ,中兰环保,深圳辖区,生态保护和环境治理业,固废治理,B,692.19,2022-12-31
002645.SZ,华宏科技,江苏辖区,专用设备制造业,环保设备Ⅲ,B,692.16,2022-12-31
600981.SH,汇鸿集团,江苏辖区,批发业,贸易Ⅲ,B,692.11,2022-12-31
002641.SZ,公元股份,浙江辖区,橡胶和塑料制品业,管材,B,692.09,2022-12-31
002801.SZ,微光股份,浙江辖区,"电气机械和器材制造业 ",电机Ⅲ,B,692.09,2022-12-31
601702.SH,华峰铝业,上海辖区,有色金属冶炼和压延加工业,铝,B,692.08,2022-12-31
688633.SH,星球石墨,江苏辖区,专用设备制造业,能源及重型设备,B,692.07,2022-12-31
300612.SZ,宣亚国际,北京辖区,商务服务业,营销代理,B,692.04,2022-12-31
603899.SH,晨光股份,上海辖区,文教、工美、体育和娱乐用品制造业,文化用品,B,692.04,2022-12-31
002468.SZ,申通快递,浙江辖区,邮政业,快递,B,692.02,2022-12-31
301037.SZ,保立佳,上海辖区,化学原料和化学制品制造业,涂料油墨,B,691.98,2022-12-31
603877.SH,太平鸟,宁波辖区,纺织服装、服饰业,非运动服装,B,691.96,2022-12-31
601228.SH,广州港,广东辖区,水上运输业,港口,B,691.94,2022-12-31
300711.SZ,广哈通信,广东辖区,计算机、通信和其他电子设备制造业,其他通信设备,B,691.84,2022-12-31
301180.SZ,万祥科技,江苏辖区,计算机、通信和其他电子设备制造业,消费电子零部件及组装,B,691.84,2022-12-31
300939.SZ,秋田微,深圳辖区,计算机、通信和其他电子设备制造业,面板,B,691.82,2022-12-31
002034.SZ,旺能环境,浙江辖区,生态保护和环境治理业,固废治理,B,691.77,2022-12-31
000880.SZ,潍柴重机,山东辖区,通用设备制造业,底盘与发动机系统,B,691.65,2022-12-31
603355.SH,莱克电气,江苏辖区,"电气机械和器材制造业 ",清洁小家电,B,691.56,2022-12-31
600732.SH,爱旭股份,上海辖区,"电气机械和器材制造业 ",光伏电池组件,B,691.51,2022-12-31
600566.SH,济川药业,湖北辖区,"医药制造业 ",中药Ⅲ,B,691.49,2022-12-31
600396.SH,*ST金山,辽宁辖区,电力、热力生产和供应业,火力发电,B,691.48,2022-12-31
603187.SH,海容冷链,青岛辖区,通用设备制造业,制冷空调设备,B,691.42,2022-12-31
300502.SZ,新易盛,四川辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,691.32,2022-12-31
688105.SH,诺唯赞,江苏辖区,研究和试验发展,其他生物制品,B,691.31,2022-12-31
688008.SH,澜起科技,上海辖区,计算机、通信和其他电子设备制造业,数字芯片设计,B,691.28,2022-12-31
601018.SH,宁波港,宁波辖区,水上运输业,港口,B,691.27,2022-12-31
605088.SH,冠盛股份,浙江辖区,汽车制造业,底盘与发动机系统,B,691.21,2022-12-31
002588.SZ,史丹利,山东辖区,化学原料和化学制品制造业,复合肥,B,691.2,2022-12-31
600455.SH,博通股份,陕西辖区,教育,垂直应用软件,B,691.2,2022-12-31
300837.SZ,浙矿股份,浙江辖区,专用设备制造业,能源及重型设备,B,691.14,2022-12-31
002404.SZ,嘉欣丝绸,浙江辖区,纺织服装、服饰业,其他纺织,B,691.13,2022-12-31
688218.SH,江苏北人,江苏辖区,专用设备制造业,机器人,B,691.07,2022-12-31
300389.SZ,艾比森,深圳辖区,计算机、通信和其他电子设备制造业,LED,B,691.05,2022-12-31
688208.SH,道通科技,深圳辖区,计算机、通信和其他电子设备制造业,其他计算机设备,B,691.04,2022-12-31
300807.SZ,天迈科技,河南辖区,计算机、通信和其他电子设备制造业,其他计算机设备,B,690.97,2022-12-31
688100.SH,威胜信息,湖南辖区,计算机、通信和其他电子设备制造业,通信终端及配件,B,690.92,2022-12-31
000733.SZ,振华科技,贵州辖区,计算机、通信和其他电子设备制造业,军工电子Ⅲ,B,690.9,2022-12-31
603324.SH,盛剑环境,上海辖区,专用设备制造业,环保设备Ⅲ,B,690.79,2022-12-31
688369.SH,致远互联,北京辖区,软件和信息技术服务业,横向通用软件,B,690.79,2022-12-31
600489.SH,中金黄金,北京辖区,有色金属矿采选业,黄金,B,690.76,2022-12-31
600329.SH,达仁堂,天津辖区,"医药制造业 ",中药Ⅲ,B,690.73,2022-12-31
002349.SZ,精华制药,江苏辖区,"医药制造业 ",中药Ⅲ,B,690.72,2022-12-31
688551.SH,科威尔,安徽辖区,专用设备制造业,其他电源设备Ⅲ,B,690.68,2022-12-31
000982.SZ,中银绒业,宁夏辖区,纺织业,电池化学品,B,690.58,2022-12-31
002318.SZ,久立特材,浙江辖区,"金属制品业 ",特钢Ⅲ,B,690.57,2022-12-31
600183.SH,生益科技,广东辖区,计算机、通信和其他电子设备制造业,印制电路板,B,690.55,2022-12-31
300473.SZ,德尔股份,辽宁辖区,通用设备制造业,其他汽车零部件,B,690.5,2022-12-31
002929.SZ,润建股份,广西辖区,软件和信息技术服务业,通信工程及服务,B,690.49,2022-12-31
300024.SZ,机器人,辽宁辖区,通用设备制造业,机器人,B,690.49,2022-12-31
002060.SZ,粤 水 电,广东辖区,土木工程建筑业,电能综合服务,B,690.46,2022-12-31
603599.SH,广信股份,安徽辖区,化学原料和化学制品制造业,农药,B,690.46,2022-12-31
603589.SH,口子窖,安徽辖区,酒、饮料和精制茶制造业,白酒Ⅲ,B,690.44,2022-12-31
301005.SZ,超捷股份,上海辖区,汽车制造业,其他汽车零部件,B,690.42,2022-12-31
600108.SH,亚盛集团,甘肃辖区,农业,其他种植业,B,690.32,2022-12-31
603181.SH,皇马科技,浙江辖区,化学原料和化学制品制造业,其他化学制品,B,690.3,2022-12-31
600594.SH,益佰制药,贵州辖区,"医药制造业 ",中药Ⅲ,B,690.24,2022-12-31
002746.SZ,仙坛股份,山东辖区,农副食品加工业,肉鸡养殖,B,690.22,2022-12-31
600103.SH,青山纸业,福建辖区,"造纸和纸制品业 ",特种纸,B,690.22,2022-12-31
600649.SH,城投控股,上海辖区,房地产业,住宅开发,B,690.17,2022-12-31
300937.SZ,药易购,四川辖区,批发业,医药流通,B,690.15,2022-12-31
688211.SH,中科微至,江苏辖区,通用设备制造业,其他专用设备,B,690.15,2022-12-31
600714.SH,金瑞矿业,青海辖区,化学原料和化学制品制造业,无机盐,B,690.13,2022-12-31
000875.SZ,吉电股份,吉林辖区,电力、热力生产和供应业,电能综合服务,B,690.11,2022-12-31
002788.SZ,鹭燕医药,厦门辖区,批发业,医药流通,B,690.11,2022-12-31
603303.SH,得邦照明,浙江辖区,"电气机械和器材制造业 ",照明设备Ⅲ,B,690.1,2022-12-31
300217.SZ,东方电热,江苏辖区,"电气机械和器材制造业 ",家电零部件Ⅲ,B,690.07,2022-12-31
688787.SH,海天瑞声,北京辖区,软件和信息技术服务业,IT服务Ⅲ,B,689.95,2022-12-31
300770.SZ,新媒股份,广东辖区,电信、广播电视和卫星传输服务,电视广播Ⅲ,B,689.94,2022-12-31
301072.SZ,中捷精工,江苏辖区,汽车制造业,底盘与发动机系统,B,689.93,2022-12-31
603096.SH,新经典,天津辖区,新闻和出版业,大众出版,B,689.88,2022-12-31
300228.SZ,富瑞特装,江苏辖区,专用设备制造业,金属制品,B,689.87,2022-12-31
603126.SH,中材节能,天津辖区,专业技术服务业,固废治理,B,689.86,2022-12-31
301033.SZ,迈普医学,广东辖区,专用设备制造业,医疗耗材,B,689.8,2022-12-31
002756.SZ,永兴材料,浙江辖区,"黑色金属冶炼和压延加工业 ",锂,B,689.79,2022-12-31
688227.SH,品高股份,广东辖区,软件和信息技术服务业,IT服务Ⅲ,B,689.77,2022-12-31
300743.SZ,天地数码,浙江辖区,计算机、通信和其他电子设备制造业,其他计算机设备,B,689.75,2022-12-31
600268.SH,国电南自,江苏辖区,"电气机械和器材制造业 ",电网自动化设备,B,689.75,2022-12-31
002555.SZ,三七互娱,安徽辖区,互联网和相关服务,游戏Ⅲ,B,689.74,2022-12-31
300852.SZ,四会富仕,广东辖区,计算机、通信和其他电子设备制造业,印制电路板,B,689.73,2022-12-31
688305.SH,科德数控,大连辖区,通用设备制造业,机床工具,B,689.73,2022-12-31
605198.SH,安德利,山东辖区,酒、饮料和精制茶制造业,果蔬加工,B,689.72,2022-12-31
600346.SH,恒力石化,大连辖区,化学纤维制造业,炼油化工,B,689.68,2022-12-31
002332.SZ,仙琚制药,浙江辖区,"医药制造业 ",原料药,B,689.59,2022-12-31
300015.SZ,爱尔眼科,湖南辖区,卫生,医院,B,689.59,2022-12-31
002871.SZ,伟隆股份,青岛辖区,通用设备制造业,金属制品,B,689.56,2022-12-31
300936.SZ,中英科技,江苏辖区,计算机、通信和其他电子设备制造业,印制电路板,B,689.53,2022-12-31
002616.SZ,长青集团,广东辖区,生态保护和环境治理业,其他能源发电,B,689.51,2022-12-31
002907.SZ,华森制药,重庆辖区,"医药制造业 ",中药Ⅲ,B,689.48,2022-12-31
603698.SH,航天工程,北京辖区,专业技术服务业,能源及重型设备,B,689.47,2022-12-31
600793.SH,宜宾纸业,四川辖区,"造纸和纸制品业 ",特种纸,B,689.46,2022-12-31
688182.SH,灿勤科技,江苏辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,689.46,2022-12-31
300654.SZ,世纪天鸿,山东辖区,新闻和出版业,教育出版,B,689.43,2022-12-31
600444.SH,国机通用,安徽辖区,通用设备制造业,其他专用设备,B,689.41,2022-12-31
002632.SZ,道明光学,浙江辖区,化学原料和化学制品制造业,膜材料,B,689.37,2022-12-31
003011.SZ,海象新材,浙江辖区,橡胶和塑料制品业,瓷砖地板,B,689.29,2022-12-31
002878.SZ,元隆雅图,北京辖区,商务服务业,营销代理,B,689.27,2022-12-31
301100.SZ,风光股份,辽宁辖区,化学原料和化学制品制造业,其他化学制品,B,689.16,2022-12-31
688345.SH,博力威,广东辖区,"电气机械和器材制造业 ",锂电池,B,689.15,2022-12-31
002252.SZ,上海莱士,上海辖区,"医药制造业 ",血液制品,B,689.1,2022-12-31
600623.SH,华谊集团,上海辖区,化学原料和化学制品制造业,煤化工,B,689.04,2022-12-31
000811.SZ,冰轮环境,山东辖区,通用设备制造业,制冷空调设备,B,688.98,2022-12-31
603878.SH,武进不锈,江苏辖区,"黑色金属冶炼和压延加工业 ",钢铁管材,B,688.95,2022-12-31
688335.SH,复洁环保,上海辖区,专用设备制造业,水务及水治理,B,688.94,2022-12-31
002053.SZ,云南能投,云南辖区,食品制造业,无机盐,B,688.93,2022-12-31
300978.SZ,东箭科技,广东辖区,汽车制造业,车身附件及饰件,B,688.9,2022-12-31
000777.SZ,中核科技,江苏辖区,通用设备制造业,金属制品,B,688.89,2022-12-31
603266.SH,天龙股份,宁波辖区,橡胶和塑料制品业,车身附件及饰件,B,688.79,2022-12-31
003025.SZ,思进智能,宁波辖区,通用设备制造业,机床工具,B,688.77,2022-12-31
000039.SZ,中集集团,深圳辖区,"金属制品业 ",金属制品,B,688.75,2022-12-31
000899.SZ,赣能股份,江西辖区,电力、热力生产和供应业,火力发电,B,688.74,2022-12-31
600429.SH,三元股份,北京辖区,食品制造业,乳品,B,688.67,2022-12-31
301087.SZ,可孚医疗,湖南辖区,专用设备制造业,医疗耗材,B,688.64,2022-12-31
301166.SZ,优宁维,上海辖区,批发业,其他生物制品,B,688.64,2022-12-31
603486.SH,科沃斯,江苏辖区,"电气机械和器材制造业 ",清洁小家电,B,688.64,2022-12-31
603269.SH,海鸥股份,江苏辖区,通用设备制造业,其他通用设备,B,688.5,2022-12-31
600633.SH,浙数文化,浙江辖区,互联网和相关服务,游戏Ⅲ,B,688.48,2022-12-31
000963.SZ,华东医药,浙江辖区,零售业,化学制剂,B,688.47,2022-12-31
002873.SZ,新天药业,贵州辖区,"医药制造业 ",中药Ⅲ,B,688.43,2022-12-31
300275.SZ,梅安森,重庆辖区,软件和信息技术服务业,安防设备,B,688.43,2022-12-31
002483.SZ,润邦股份,江苏辖区,通用设备制造业,能源及重型设备,B,688.35,2022-12-31
688303.SH,大全能源,新疆辖区,"电气机械和器材制造业 ",硅料硅片,B,688.34,2022-12-31
002827.SZ,高争民爆,西藏辖区,化学原料和化学制品制造业,民爆制品,B,688.28,2022-12-31
603090.SH,宏盛股份,江苏辖区,通用设备制造业,其他通用设备,B,688.18,2022-12-31
000657.SZ,中钨高新,海南辖区,有色金属冶炼和压延加工业,钨,B,688.16,2022-12-31
601127.SH,赛力斯,重庆辖区,汽车制造业,综合乘用车,B,688.15,2022-12-31
002303.SZ,美盈森,深圳辖区,"造纸和纸制品业 ",纸包装,B,688.12,2022-12-31
688186.SH,广大特材,江苏辖区,"金属制品业 ",特钢Ⅲ,B,688.04,2022-12-31
002598.SZ,山东章鼓,山东辖区,通用设备制造业,其他通用设备,B,688.03,2022-12-31
688668.SH,鼎通科技,广东辖区,计算机、通信和其他电子设备制造业,通信网络设备及器件,B,688.01,2022-12-31
688799.SH,华纳药厂,湖南辖区,"医药制造业 ",化学制剂,B,687.97,2022-12-31
603169.SH,兰石重装,甘肃辖区,专用设备制造业,能源及重型设备,B,687.88,2022-12-31
002987.SZ,京北方,北京辖区,软件和信息技术服务业,垂直应用软件,B,687.7,2022-12-31
300591.SZ,万里马,广东辖区,皮革、毛皮、羽毛及其制品和制鞋业,鞋帽及其他,B,687.7,2022-12-31
000530.SZ,冰山冷热,大连辖区,通用设备制造业,制冷空调设备,B,687.6,2022-12-31
603067.SH,振华股份,湖北辖区,化学原料和化学制品制造业,无机盐,B,687.58,2022-12-31
605208.SH,永茂泰,上海辖区,有色金属冶炼和压延加工业,铝,B,687.58,2022-12-31
000514.SZ,渝 开 发,重庆辖区,房地产业,住宅开发,B,687.56,2022-12-31
603115.SH,海星股份,江苏辖区,计算机、通信和其他电子设备制造业,铝,B,687.51,2022-12-31
002091.SZ,江苏国泰,江苏辖区,批发业,贸易Ⅲ,B,687.46,2022-12-31
300668.SZ,杰恩设计,深圳辖区,专业技术服务业,工程咨询服务Ⅲ,B,687.36,2022-12-31
600285.SH,羚锐制药,河南辖区,"医药制造业 ",中药Ⅲ,B,687.35,2022-12-31
688698.SH,伟创电气,江苏辖区,仪器仪表制造业,工控设备,B,687.33,2022-12-31
603687.SH,大胜达,浙江辖区,"造纸和纸制品业 ",纸包装,B,687.32,2022-12-31
300112.SZ,万讯自控,深圳辖区,仪器仪表制造业,仪器仪表,B,687.26,2022-12-31
300341.SZ,麦克奥迪,厦门辖区,"电气机械和器材制造业 ",医疗设备,B,687.21,2022-12-31
600685.SH,中船防务,广东辖区,铁路、船舶、航空航天和其他运输设备制造业,航海装备Ⅲ,B,687.21,2022-12-31
603006.SH,联明股份,上海辖区,汽车制造业,其他汽车零部件,B,687.19,2022-12-31
300748.SZ,金力永磁,江西辖区,非金属矿物制品业,磁性材料,B,687.17,2022-12-31
300901.SZ,中胤时尚,浙江辖区,专业技术服务业,非运动服装,B,687.12,2022-12-31
601288.SH,农业银行,北京辖区,货币金融服务,国有大型银行Ⅲ,B,687.12,2022-12-31
603939.SH,益丰药房,湖南辖区,零售业,线下药店,B,687.07,2022-12-31
