证券代码,证券简称,辖区,证监会行业,申万行业,内部控制指数评级,内部控制指数评分,报告期
600039.SH,四川路桥,四川辖区,土木工程建筑业,基建市政工程,BBB,767.11,2022-12-31
600028.SH,中国石化,北京辖区,石油和天然气开采业,炼油化工,BBB,767.04,2022-12-31
601669.SH,中国电建,北京辖区,土木工程建筑业,基建市政工程,BBB,765.93,2022-12-31
601336.SH,新华保险,北京辖区,保险业,保险Ⅲ,BBB,765.63,2022-12-31
601686.SH,友发集团,天津辖区,"金属制品业 ",钢铁管材,BBB,765.62,2022-12-31
601390.SH,中国中铁,北京辖区,土木工程建筑业,基建市政工程,BBB,764.56,2022-12-31
002865.SZ,钧达股份,海南辖区,汽车制造业,光伏电池组件,BBB,764.4,2022-12-31
601155.SH,新城控股,江苏辖区,房地产业,商业地产,BBB,763.13,2022-12-31
000062.SZ,深圳华强,深圳辖区,批发业,其他电子Ⅲ,BBB,762.66,2022-12-31
002352.SZ,顺丰控股,深圳辖区,邮政业,快递,BBB,762.36,2022-12-31
600370.SH,三房巷,江苏辖区,化学原料和化学制品制造业,涤纶,BBB,761.81,2022-12-31
600741.SH,华域汽车,上海辖区,汽车制造业,车身附件及饰件,BBB,761.71,2022-12-31
601012.SH,隆基绿能,陕西辖区,"电气机械和器材制造业 ",光伏电池组件,BBB,760.83,2022-12-31
600873.SH,梅花生物,西藏辖区,食品制造业,食品及饲料添加剂,BBB,760.47,2022-12-31
000090.SZ,天健集团,深圳辖区,土木工程建筑业,住宅开发,BBB,760.23,2022-12-31
600760.SH,中航沈飞,山东辖区,铁路、船舶、航空航天和其他运输设备制造业,航空装备Ⅲ,BBB,760.16,2022-12-31
600612.SH,老凤祥,上海辖区,其他制造业,钟表珠宝,BBB,757.52,2022-12-31
601600.SH,中国铝业,北京辖区,有色金属冶炼和压延加工业,铝,BBB,757.31,2022-12-31
600600.SH,青岛啤酒,青岛辖区,酒、饮料和精制茶制造业,啤酒,BBB,757.26,2022-12-31
601633.SH,长城汽车,河北辖区,汽车制造业,综合乘用车,BBB,756.98,2022-12-31
600585.SH,海螺水泥,安徽辖区,非金属矿物制品业,水泥制造,BBB,756.53,2022-12-31
600438.SH,通威股份,四川辖区,农副食品加工业,硅料硅片,BBB,756.48,2022-12-31
600688.SH,上海石化,上海辖区,"石油加工、炼焦和核燃料加工业 ",炼油化工,BBB,756.15,2022-12-31
601186.SH,中国铁建,北京辖区,土木工程建筑业,基建市政工程,BBB,755.97,2022-12-31
000729.SZ,燕京啤酒,北京辖区,酒、饮料和精制茶制造业,啤酒,BBB,755.8,2022-12-31
600180.SH,瑞茂通,山东辖区,批发业,原材料供应链服务,BBB,755.6,2022-12-31
603071.SH,物产环能,浙江辖区,批发业,动力煤,BBB,755.56,2022-12-31
300244.SZ,迪安诊断,浙江辖区,卫生,诊断服务,BBB,755.46,2022-12-31
002183.SZ,怡 亚 通,深圳辖区,商务服务业,中间产品及消费品供应链服务,BBB,754.97,2022-12-31
600713.SH,南京医药,江苏辖区,零售业,医药流通,BBB,754.71,2022-12-31
000987.SZ,越秀资本,广东辖区,其他金融业,金融控股,BBB,754.55,2022-12-31
600459.SH,贵研铂业,云南辖区,有色金属冶炼和压延加工业,其他小金属,BBB,754.35,2022-12-31
600483.SH,福能股份,福建辖区,电力、热力生产和供应业,电能综合服务,BBB,754.14,2022-12-31
601801.SH,皖新传媒,安徽辖区,新闻和出版业,大众出版,BBB,754.02,2022-12-31
600233.SH,圆通速递,大连辖区,邮政业,快递,BBB,753.53,2022-12-31
600808.SH,马钢股份,安徽辖区,"黑色金属冶炼和压延加工业 ",板材,BBB,753.48,2022-12-31
605138.SH,盛泰集团,浙江辖区,纺织服装、服饰业,非运动服装,BBB,753.07,2022-12-31
601872.SH,招商轮船,上海辖区,水上运输业,航运,BBB,753.03,2022-12-31
600126.SH,杭钢股份,浙江辖区,"黑色金属冶炼和压延加工业 ",板材,BBB,752.76,2022-12-31
600875.SH,东方电气,四川辖区,通用设备制造业,综合电力设备商,BBB,752.01,2022-12-31
601226.SH,华电重工,北京辖区,专业技术服务业,其他专业工程,BBB,751.94,2022-12-31
002540.SZ,亚太科技,江苏辖区,有色金属冶炼和压延加工业,铝,BBB,751.84,2022-12-31
000876.SZ,新 希 望,四川辖区,农副食品加工业,生猪养殖,BBB,751.8,2022-12-31
600968.SH,海油发展,北京辖区,开采辅助活动,油田服务,BBB,751.21,2022-12-31
605090.SH,九丰能源,江西辖区,"燃气生产和供应业  ",燃气Ⅲ,BBB,751.06,2022-12-31
601598.SH,中国外运,北京辖区,装卸搬运和运输代理业,跨境物流,BBB,750.97,2022-12-31
000878.SZ,云南铜业,云南辖区,有色金属冶炼和压延加工业,铜,BBB,750.36,2022-12-31
600027.SH,华电国际,山东辖区,电力、热力生产和供应业,火力发电,BBB,750.19,2022-12-31
600887.SH,伊利股份,内蒙古辖区,食品制造业,乳品,BBB,750.03,2022-12-31
601800.SH,中国交建,北京辖区,土木工程建筑业,基建市政工程,BB,749.89,2022-12-31
000833.SZ,粤桂股份,广西辖区,综合,综合Ⅲ,BB,749.7,2022-12-31
603609.SH,禾丰股份,辽宁辖区,农副食品加工业,畜禽饲料,BB,749.35,2022-12-31
601212.SH,白银有色,甘肃辖区,有色金属冶炼和压延加工业,铜,BB,748.22,2022-12-31
600143.SH,金发科技,广东辖区,橡胶和塑料制品业,改性塑料,BB,747.97,2022-12-31
600531.SH,豫光金铅,河南辖区,有色金属冶炼和压延加工业,铅锌,BB,747.22,2022-12-31
000921.SZ,海信家电,广东辖区,"电气机械和器材制造业 ",空调,BB,747.15,2022-12-31
000028.SZ,国药一致,深圳辖区,批发业,医药流通,BB,746.82,2022-12-31
600309.SH,万华化学,山东辖区,化学原料和化学制品制造业,聚氨酯,BB,746.43,2022-12-31
002714.SZ,牧原股份,河南辖区,畜牧业,生猪养殖,BB,746.13,2022-12-31
600702.SH,舍得酒业,四川辖区,酒、饮料和精制茶制造业,白酒Ⅲ,BB,745.84,2022-12-31
002266.SZ,浙富控股,浙江辖区,生态保护和环境治理业,固废治理,BB,745.82,2022-12-31
300761.SZ,立华股份,江苏辖区,畜牧业,肉鸡养殖,BB,745.67,2022-12-31
600132.SH,重庆啤酒,重庆辖区,酒、饮料和精制茶制造业,啤酒,BB,745.31,2022-12-31
002124.SZ,天邦食品,宁波辖区,畜牧业,生猪养殖,BB,744.93,2022-12-31
603993.SH,洛阳钼业,河南辖区,有色金属矿采选业,钼,BB,744.47,2022-12-31
300498.SZ,温氏股份,广东辖区,畜牧业,生猪养殖,BB,744.44,2022-12-31
600406.SH,国电南瑞,江苏辖区,软件和信息技术服务业,电网自动化设备,BB,743.21,2022-12-31
300772.SZ,运达股份,浙江辖区,通用设备制造业,风电整机,BB,742.82,2022-12-31
000498.SZ,山东路桥,山东辖区,土木工程建筑业,基建市政工程,BB,742.77,2022-12-31
688599.SH,天合光能,江苏辖区,"电气机械和器材制造业 ",光伏电池组件,BB,742.53,2022-12-31
600278.SH,东方创业,上海辖区,批发业,贸易Ⅲ,BB,742.29,2022-12-31
002237.SZ,恒邦股份,山东辖区,有色金属冶炼和压延加工业,黄金,BB,742.26,2022-12-31
002709.SZ,天赐材料,广东辖区,化学原料和化学制品制造业,电池化学品,BB,742.24,2022-12-31
000411.SZ,英特集团,浙江辖区,批发业,医药流通,BB,741.67,2022-12-31
600967.SH,内蒙一机,内蒙古辖区,铁路、船舶、航空航天和其他运输设备制造业,地面兵装Ⅲ,BB,741.27,2022-12-31
600500.SH,中化国际,上海辖区,化学原料和化学制品制造业,其他化学制品,BB,741.11,2022-12-31
000543.SZ,皖能电力,安徽辖区,电力、热力生产和供应业,火力发电,BB,740.14,2022-12-31
600150.SH,中国船舶,上海辖区,铁路、船舶、航空航天和其他运输设备制造业,航海装备Ⅲ,BB,739.94,2022-12-31
600863.SH,内蒙华电,内蒙古辖区,电力、热力生产和供应业,火力发电,BB,739.25,2022-12-31
601921.SH,浙版传媒,浙江辖区,新闻和出版业,教育出版,BB,738.83,2022-12-31
601156.SH,东航物流,上海辖区,"航空运输业 ",跨境物流,BB,738.45,2022-12-31
001979.SZ,招商蛇口,深圳辖区,房地产业,商业地产,BB,738.17,2022-12-31
600111.SH,北方稀土,内蒙古辖区,有色金属冶炼和压延加工业,稀土,BB,737.93,2022-12-31
002493.SZ,荣盛石化,浙江辖区,化学纤维制造业,炼油化工,BB,737.79,2022-12-31
002497.SZ,雅化集团,四川辖区,化学原料和化学制品制造业,锂,BB,737.46,2022-12-31
